customer_id,city,country,birthdate,yearly_income,gender,total_children,education,occupation
1,Tlaxiaco,Mexico,1961-08-26,$30K - $50K,F,4,Partial High School,Skilled Manual
2,Sooke,Canada,1915-07-03,$70K - $90K,M,1,Partial High School,Professional
3,Issaquah,USA,1910-06-21,$50K - $70K,F,1,Bachelors Degree,Professional
4,Burnaby,Canada,1969-06-20,$10K - $30K,M,4,Partial High School,Skilled Manual
5,Novato,USA,1951-05-10,$30K - $50K,F,3,Partial College,Manual
6,Lynnwood,USA,1942-10-08,$70K - $90K,F,3,Bachelors Degree,Professional
7,Tlaxiaco,Mexico,1949-03-27,$30K - $50K,F,2,Partial High School,Manual
8,San Andres,Mexico,1922-08-10,$50K - $70K,M,2,Bachelors Degree,Professional
9,Richmond,Canada,1979-06-23,$10K - $30K,M,5,Partial High School,Skilled Manual
10,Lake Oswego,USA,1949-08-26,$30K - $50K,M,4,Bachelors Degree,Management
11,La Mesa,USA,1967-06-20,$50K - $70K,M,4,High School Degree,Manual
12,Chula Vista,USA,1971-10-18,$30K - $50K,F,1,High School Degree,Skilled Manual
13,Mexico City,Mexico,1975-10-12,$30K - $50K,M,4,High School Degree,Manual
14,Lincoln Acres,USA,1912-07-09,$50K - $70K,F,2,Bachelors Degree,Management
15,Oak Bay,Canada,1941-11-05,$90K - $110K,M,3,Graduate Degree,Professional
16,Camacho,Mexico,1919-06-02,$50K - $70K,F,2,High School Degree,Skilled Manual
17,Arcadia,USA,1928-03-20,$90K - $110K,M,3,High School Degree,Management
18,Altadena,USA,1914-09-21,$30K - $50K,M,3,Partial College,Professional
19,Oakland,USA,1953-07-20,$70K - $90K,F,1,High School Degree,Professional
20,Spring Valley,USA,1974-04-16,$10K - $30K,F,2,Partial High School,Manual
21,Renton,USA,1918-11-04,$30K - $50K,M,1,High School Degree,Manual
22,Bellingham,USA,1947-10-07,$30K - $50K,F,4,High School Degree,Skilled Manual
23,La Jolla,USA,1916-10-24,$30K - $50K,F,2,High School Degree,Manual
24,Santa Fe,Mexico,1921-12-04,$30K - $50K,F,0,High School Degree,Manual
25,Haney,Canada,1952-09-26,$70K - $90K,F,3,High School Degree,Professional
26,Burbank,USA,1954-08-25,$10K - $30K,M,0,Partial High School,Skilled Manual
27,Anacortes,USA,1934-03-17,$30K - $50K,F,1,High School Degree,Manual
28,Everett,USA,1970-03-12,$10K - $30K,F,1,Partial High School,Manual
29,Oak Bay,Canada,1937-10-04,$10K - $30K,F,2,Partial High School,Manual
30,Milwaukie,USA,1917-07-08,$50K - $70K,F,4,Bachelors Degree,Professional
31,Concord,USA,1978-07-02,$50K - $70K,F,4,Graduate Degree,Professional
32,Ladner,Canada,1930-01-08,$10K - $30K,F,2,Partial High School,Manual
33,Santa Cruz,USA,1971-07-23,$30K - $50K,F,2,High School Degree,Skilled Manual
34,La Mesa,USA,1919-10-21,$50K - $70K,F,3,Bachelors Degree,Management
35,Merida,Mexico,1920-04-17,$30K - $50K,M,5,Partial College,Skilled Manual
36,Oregon City,USA,1915-11-22,$10K - $30K,M,1,Partial High School,Skilled Manual
37,Seattle,USA,1961-04-06,$50K - $70K,M,0,Bachelors Degree,Professional
38,Arcadia,USA,1958-04-09,$30K - $50K,M,1,Partial College,Management
39,Lebanon,USA,1959-01-23,$90K - $110K,F,4,Graduate Degree,Professional
40,Santa Cruz,USA,1926-10-27,$110K - $130K,M,1,Partial College,Professional
41,W. Linn,USA,1919-04-19,$110K - $130K,M,1,High School Degree,Professional
42,San Andres,Mexico,1965-03-27,$70K - $90K,F,3,Bachelors Degree,Management
43,Burbank,USA,1977-05-16,$50K - $70K,F,2,Bachelors Degree,Professional
44,Bellflower,USA,1917-05-20,$30K - $50K,M,1,High School Degree,Skilled Manual
45,Renton,USA,1916-08-09,$50K - $70K,M,5,Bachelors Degree,Management
46,Mill Valley,USA,1928-02-10,$70K - $90K,F,1,Graduate Degree,Professional
47,Oak Bay,Canada,1951-09-01,$50K - $70K,M,0,Bachelors Degree,Professional
48,Camacho,Mexico,1927-10-17,$50K - $70K,M,0,Bachelors Degree,Professional
49,Arcadia,USA,1930-12-02,$30K - $50K,F,4,High School Degree,Skilled Manual
