product_id,product_class_id,brand_name,product_name,sku,srp,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,cases_per_pallet,shelf_width,shelf_height,shelf_depth
1,30,Washington,Washington Berry Juice,90748583674,2.8500,8.39,6.39,0,0,30,14,16.9,12.6,7.4
2,52,Washington,Washington Mango Drink,96516502499,0.7400,7.42,4.42,0,1,18,8,13.4,3.71,22.6
3,52,Washington,Washington Strawberry Drink,58427771925,0.8300,13.1,11.1,1,1,17,13,14.4,11.0,7.77
4,19,Washington,Washington Cream Soda,64412155747,3.6400,10.6,9.6,1,0,26,10,22.9,18.9,7.93
5,19,Washington,Washington Diet Soda,85561191439,2.1900,6.66,4.65,1,0,7,10,20.7,21.9,19.2
6,19,Washington,Washington Cola,29804642796,1.1500,15.8,13.8,0,0,14,10,6.42,18.1,21.3
7,19,Washington,Washington Diet Cola,20191444754,2.6100,18.0,17.0,1,0,11,7,15.0,16.9,21.0
8,30,Washington,Washington Orange Juice,89770532250,2.5900,8.97,6.97,1,0,27,7,7.56,11.8,8.92
9,30,Washington,Washington Cranberry Juice,49395100474,2.4200,7.14,5.13,0,0,34,7,18.5,16.1,14.4
10,30,Washington,Washington Apple Juice,22114084362,1.4200,8.13,7.13,1,0,28,14,21.6,7.32,9.2
11,52,Washington,Washington Apple Drink,17074288725,3.5100,20.0,19.0,0,1,3,10,19.4,10.3,20.4
12,35,Jeffers,Jeffers Oatmeal,49031038880,1.5400,8.9,6.89,1,1,14,6,15.9,15.4,10.8
13,35,Jeffers,Jeffers Corn Puffs,13229009509,2.6500,10.4,7.39,0,0,20,10,18.2,10.3,14.6
14,35,Jeffers,Jeffers Wheat Puffs,92942813038,1.9300,21.6,20.6,1,1,33,10,7.73,6.94,8.01
15,35,Jeffers,Jeffers Grits,26378549933,2.2900,21.3,20.2,0,1,14,9,8.96,18.3,12.4
16,62,Blue Label,Blue Label Canned Beets,62908702492,3.8300,21.2,18.2,0,1,31,10,19.0,21.9,9.39
17,62,Blue Label,Blue Label Creamed Corn,79484335780,2.9900,6.91,3.9,1,1,34,9,7.8,17.8,8.26
18,62,Blue Label,Blue Label Canned String Beans,85252254605,2.6700,12.6,10.6,1,0,26,10,8.87,5.18,13.3
19,58,Blue Label,Blue Label Chicken Soup,47163524031,3.1900,15.2,12.1,1,1,35,7,22.6,21.1,16.9
