customer_id,city,country,age,age_category,yearly_income,gender,total_children,education,occupation,effective_date
1,Tlaxiaco,Mexico,37,36 - 50,$30K - $50K,F,4,Partial High School,Skilled Manual,2023-04-18
2,Sooke,Canada,83,>75,$70K - $90K,M,1,Partial High School,Professional,2023-04-18
3,Issaquah,USA,88,>75,$50K - $70K,F,1,Bachelors Degree,Professional,2023-04-18
4,Burnaby,Canada,29,26 - 35,$10K - $30K,M,4,Partial High School,Skilled Manual,2023-04-18
5,Novato,USA,47,36 - 50,$30K - $50K,F,3,Partial College,Manual,2023-04-18
6,Lynnwood,USA,56,51 - 64,$70K - $90K,F,3,Bachelors Degree,Professional,2023-04-18
7,Tlaxiaco,Mexico,49,36 - 50,$30K - $50K,F,2,Partial High School,Manual,2023-04-18
8,San Andres,Mexico,76,>75,$50K - $70K,M,2,Bachelors Degree,Professional,2023-04-18
9,Richmond,Canada,19,17 - 25,$10K - $30K,M,5,Partial High School,Skilled Manual,2023-04-18
10,Lake Oswego,USA,49,36 - 50,$30K - $50K,M,4,Bachelors Degree,Management,2023-04-18
11,La Mesa,USA,31,26 - 35,$50K - $70K,M,4,High School Degree,Manual,2023-04-18
12,Chula Vista,USA,27,26 - 35,$30K - $50K,F,1,High School Degree,Skilled Manual,2023-04-18
13,Mexico City,Mexico,23,17 - 25,$30K - $50K,M,4,High School Degree,Manual,2023-04-18
14,Lincoln Acres,USA,86,>75,$50K - $70K,F,2,Bachelors Degree,Management,2023-04-18
15,Oak Bay,Canada,57,51 - 64,$90K - $110K,M,3,Graduate Degree,Professional,2023-04-18
16,Camacho,Mexico,79,>75,$50K - $70K,F,2,High School Degree,Skilled Manual,2023-04-18
17,Arcadia,USA,70,65 - 75,$90K - $110K,M,3,High School Degree,Management,2023-04-18
18,Altadena,USA,84,>75,$30K - $50K,M,3,Partial College,Professional,2023-04-18
19,Oakland,USA,45,36 - 50,$70K - $90K,F,1,High School Degree,Professional,2023-04-18
20,Spring Valley,USA,24,17 - 25,$10K - $30K,F,2,Partial High School,Manual,2023-04-18
21,Renton,USA,80,>75,$30K - $50K,M,1,High School Degree,Manual,2023-04-18
22,Bellingham,USA,51,51 - 64,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
23,La Jolla,USA,82,>75,$30K - $50K,F,2,High School Degree,Manual,2023-04-18
24,Santa Fe,Mexico,77,>75,$30K - $50K,F,0,High School Degree,Manual,2023-04-18
25,Haney,Canada,46,36 - 50,$70K - $90K,F,3,High School Degree,Professional,2023-04-18
26,Burbank,USA,44,36 - 50,$10K - $30K,M,0,Partial High School,Skilled Manual,2023-04-18
27,Anacortes,USA,64,>75,$30K - $50K,F,1,High School Degree,Manual,2023-04-18
28,Everett,USA,28,26 - 35,$10K - $30K,F,1,Partial High School,Manual,2023-04-18
29,Oak Bay,Canada,61,51 - 64,$10K - $30K,F,2,Partial High School,Manual,2023-04-18
30,Milwaukie,USA,81,>75,$50K - $70K,F,4,Bachelors Degree,Professional,2023-04-18
31,Concord,USA,20,17 - 25,$50K - $70K,F,4,Graduate Degree,Professional,2023-04-18
32,Ladner,Canada,68,65 - 75,$10K - $30K,F,2,Partial High School,Manual,2023-04-18
33,Santa Cruz,USA,27,26 - 35,$30K - $50K,F,2,High School Degree,Skilled Manual,2023-04-18
34,La Mesa,USA,79,>75,$50K - $70K,F,3,Bachelors Degree,Management,2023-04-18
35,Merida,Mexico,78,>75,$30K - $50K,M,5,Partial College,Skilled Manual,2023-04-18
36,Oregon City,USA,83,>75,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
37,Seattle,USA,37,36 - 50,$50K - $70K,M,0,Bachelors Degree,Professional,2023-04-18
38,Arcadia,USA,40,36 - 50,$30K - $50K,M,1,Partial College,Management,2023-04-18
39,Lebanon,USA,39,36 - 50,$90K - $110K,F,4,Graduate Degree,Professional,2023-04-18
40,Santa Cruz,USA,72,65 - 75,$110K - $130K,M,1,Partial College,Professional,2023-04-18
41,W. Linn,USA,79,>75,$110K - $130K,M,1,High School Degree,Professional,2023-04-18
42,San Andres,Mexico,33,26 - 35,$70K - $90K,F,3,Bachelors Degree,Management,2023-04-18
43,Burbank,USA,21,17 - 25,$50K - $70K,F,2,Bachelors Degree,Professional,2023-04-18
