product_id,time_id,warehouse_id,store_id,units_ordered,units_shipped,warehouse_sales,warehouse_cost,supply_time,store_invoice,promotion_id
350,369,2,2,42,42,23.961,11.7409,6,13.7369,27
1397,369,2,2,87,82,63.3204,22.1621,5,25.708,27
267,369,2,2,94,94,28.8674,12.1243,5,13.8217,27
1270,369,2,2,44,44,37.8752,13.6351,3,16.0894,27
234,369,2,2,12,4,4.644,1.7647,4,2.0823,27
1370,369,2,2,15,15,13.566,5.2907,5,6.1901,27
1493,369,2,2,32,32,68.4288,24.6344,5,28.3296,27
710,369,2,2,30,30,-20.349,-11.5989,4,13.2227,27
354,369,2,2,16,16,12.96,6.6096,3,7.4028,27
277,369,2,2,49,49,56.6832,17.5718,5,20.2076,27
94,369,2,2,95,95,34.162,12.9816,6,14.9288,27
1130,391,2,2,92,92,69.874,25.1546,4,28.9278,27
1362,391,3,3,52,52,34.0912,16.7047,4,19.8786,27
1139,391,3,3,49,49,0.0,28.2522,2,33.0551,27
662,391,3,3,30,30,34.5,13.8,2,16.284,27
119,391,3,3,53,53,62.8368,36.4453,3,41.1832,27
190,391,3,3,60,60,127.908,52.4423,3,59.2598,27
806,391,3,3,85,85,106.08,63.648,2,70.6493,27
103,391,3,3,94,94,39.292,16.8956,2,19.4299,27
240,391,3,3,26,26,11.8508,4.5033,2,5.0887,27
656,391,3,3,62,62,90.706,48.0742,2,54.3238,27
1150,371,3,3,90,90,129.195,71.0573,3,83.8476,27
1406,371,3,3,30,30,6.216,2.1756,1,2.4802,27
224,371,3,3,74,74,44.807,18.3709,1,21.6777,27
1067,371,3,3,0,15,8.352,3.5914,4,4.166,27
97,371,3,3,44,44,14.7972,8.2864,4,9.9437,27
1034,371,3,3,71,71,0.0,42.3964,3,48.7559,27
197,371,3,3,83,83,128.0109,48.6441,4,57.4,27
734,371,3,3,47,1,0.2268,0.068,3,0.0802,27
465,373,3,3,63,63,57.6135,30.5352,3,36.0315,27
1508,373,3,3,40,2,2.7612,1.0216,4,1.1953,27
1498,373,3,3,18,18,19.872,10.9296,3,13.0062,0
1115,373,3,3,25,25,33.75,19.9125,3,23.6959,0
705,373,3,3,50,50,19.8,11.088,1,13.0838,0
1521,373,3,3,60,20,0.0,2.2932,2,2.5455,0
632,373,3,3,99,70,33.698,12.8052,4,14.4699,0
343,375,3,3,29,29,21.344,8.5376,3,9.4767,0
1093,375,3,3,85,85,126.5905,49.3703,3,58.7507,0
1549,375,3,3,35,3,1.5048,0.5869,3,0.6573,0
1326,375,3,3,59,59,40.356,21.7922,4,25.4969,0
849,375,3,3,63,63,44.6985,24.5842,1,28.5177,0
306,375,3,3,80,80,161.568,84.0154,1,95.7776,27
289,375,3,3,46,46,33.4006,18.3703,3,21.4933,27
673,370,3,3,68,68,85.7072,45.4248,4,51.33,27
450,370,3,3,34,34,41.2488,21.4494,4,23.8088,27
1532,370,3,3,75,75,32.3175,14.8661,3,17.3933,27
1060,370,3,3,19,5,8.036,2.4108,3,2.6519,27
972,370,3,3,93,93,76.7343,42.9712,2,50.706,27
215,419,3,3,27,22,6.7782,3.9991,1,4.7989,27
1019,419,3,3,74,74,116.2392,56.9572,2,63.7921,27
996,419,3,3,60,37,11.322,6.68,4,7.9492,27
1479,419,3,3,82,8,4.3216,1.8583,3,2.137,27
1258,419,3,3,69,52,0.0,5.7508,2,6.5559,27
1008,419,3,3,76,76,26.3796,9.4967,3,10.6363,27
199,419,3,3,26,26,24.3152,14.5891,4,16.9234,27
1069,419,3,3,18,18,3.6936,1.3666,1,1.5169,27
432,419,3,3,61,44,41.36,13.6488,2,15.6961,27
369,419,3,3,39,16,13.984,5.3139,3,5.8453,27
1385,419,3,3,78,78,110.448,40.8658,3,48.6303,27
1042,419,3,3,29,29,0.0,5.8529,1,6.5552,27
1039,389,2,2,74,74,24.5754,12.2877,6,13.5165,27
30,389,2,2,47,47,29.1588,9.3308,5,10.5438,27
1499,389,2,2,34,34,14.6506,8.3508,4,9.1859,27
623,389,2,2,67,67,39.798,13.9293,6,15.6008,27
456,389,2,2,19,19,17.2482,7.2442,2,8.4033,27
633,389,2,2,100,100,38.48,14.6224,2,17.1082,27
517,389,2,2,-44,71,0.0,50.4043,6,55.4447,27
866,389,2,2,55,12,18.2688,7.6729,3,9.054,27
962,389,2,2,33,33,27.7695,14.4401,5,16.0285,27
1406,389,2,2,41,41,11.7096,4.0984,5,4.5492,27
490,389,2,2,66,66,54.45,28.8585,3,34.3416,27
