product_id,brand_name,product_name,sku,srp,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,cases_per_pallet,shelf_width,shelf_height,shelf_depth,product_subcategory,product_category,product_department,product_family
1,Washington,Washington Berry Juice,90748583674,2.85,8.39,6.39,0,0,30,14,16.9,12.6,7.4,Juice,Pure Juice Beverages,Beverages,Drink
8,Washington,Washington Orange Juice,89770532250,2.59,8.97,6.97,1,0,27,7,7.56,11.8,8.92,Juice,Pure Juice Beverages,Beverages,Drink
9,Washington,Washington Cranberry Juice,49395100474,2.42,7.14,5.13,0,0,34,7,18.5,16.1,14.4,Juice,Pure Juice Beverages,Beverages,Drink
10,Washington,Washington Apple Juice,22114084362,1.42,8.13,7.13,1,0,28,14,21.6,7.32,9.2,Juice,Pure Juice Beverages,Beverages,Drink
312,Excellent,Excellent Berry Juice,20972600579,2.13,12.6,10.6,1,0,2,12,12.4,8.55,3.71,Juice,Pure Juice Beverages,Beverages,Drink
319,Excellent,Excellent Orange Juice,90040029883,1.6,9.58,7.57,0,0,6,12,7.97,7.76,10.9,Juice,Pure Juice Beverages,Beverages,Drink
320,Excellent,Excellent Cranberry Juice,36570182442,3.26,16.4,14.3,0,0,14,12,13.6,3.87,13.7,Juice,Pure Juice Beverages,Beverages,Drink
321,Excellent,Excellent Apple Juice,29243685603,2.41,13.2,12.1,1,0,13,13,17.7,9.2,14.7,Juice,Pure Juice Beverages,Beverages,Drink
623,Token,Token Berry Juice,87339968085,1.8,8.04,7.03,1,0,2,5,11.7,18.1,8.82,Juice,Pure Juice Beverages,Beverages,Drink
630,Token,Token Orange Juice,13403943181,2.8,11.0,10.0,1,0,33,11,7.34,6.72,9.09,Juice,Pure Juice Beverages,Beverages,Drink
631,Token,Token Cranberry Juice,93790745139,0.78,19.7,17.7,1,0,7,8,9.47,3.99,16.3,Juice,Pure Juice Beverages,Beverages,Drink
632,Token,Token Apple Juice,73369832634,0.83,20.6,18.6,0,0,1,11,14.0,6.27,11.0,Juice,Pure Juice Beverages,Beverages,Drink
939,Fabulous,Fabulous Berry Juice,52854356169,0.7,10.8,8.8,0,0,19,13,3.2,11.2,16.9,Juice,Pure Juice Beverages,Beverages,Drink
946,Fabulous,Fabulous Orange Juice,72023685574,2.85,6.0,4.0,1,0,2,11,5.4,21.1,10.2,Juice,Pure Juice Beverages,Beverages,Drink
947,Fabulous,Fabulous Cranberry Juice,57837085127,0.65,16.0,15.0,1,0,11,8,7.47,18.5,16.9,Juice,Pure Juice Beverages,Beverages,Drink
948,Fabulous,Fabulous Apple Juice,98940640091,2.96,16.9,13.8,0,0,34,7,12.0,20.8,11.6,Juice,Pure Juice Beverages,Beverages,Drink
1250,Skinner,Skinner Berry Juice,40440567135,2.16,9.17,8.17,0,0,33,10,8.03,21.1,15.1,Juice,Pure Juice Beverages,Beverages,Drink
1257,Skinner,Skinner Orange Juice,52340466380,1.94,7.87,5.86,1,0,4,9,5.93,6.11,6.7,Juice,Pure Juice Beverages,Beverages,Drink
1258,Skinner,Skinner Cranberry Juice,80731294751,0.61,15.2,13.1,0,0,12,10,21.2,4.39,9.41,Juice,Pure Juice Beverages,Beverages,Drink
1259,Skinner,Skinner Apple Juice,99593629240,2.14,14.7,11.6,1,0,26,10,19.0,7.69,19.5,Juice,Pure Juice Beverages,Beverages,Drink
2,Washington,Washington Mango Drink,96516502499,0.74,7.42,4.42,0,1,18,8,13.4,3.71,22.6,Flavored Drinks,Drinks,Beverages,Drink
3,Washington,Washington Strawberry Drink,58427771925,0.83,13.1,11.1,1,1,17,13,14.4,11.0,7.77,Flavored Drinks,Drinks,Beverages,Drink
11,Washington,Washington Apple Drink,17074288725,3.51,20.0,19.0,0,1,3,10,19.4,10.3,20.4,Flavored Drinks,Drinks,Beverages,Drink
313,Excellent,Excellent Mango Drink,11575867533,2.85,7.12,5.11,0,1,16,12,4.89,3.73,10.4,Flavored Drinks,Drinks,Beverages,Drink
314,Excellent,Excellent Strawberry Drink,50392721295,1.85,9.26,7.26,0,1,22,10,16.0,5.25,14.1,Flavored Drinks,Drinks,Beverages,Drink
322,Excellent,Excellent Apple Drink,35011604428,2.98,12.8,10.8,0,0,28,8,14.0,21.3,4.84,Flavored Drinks,Drinks,Beverages,Drink
624,Token,Token Mango Drink,33870120644,2.46,20.4,18.3,1,1,16,12,11.5,8.99,14.9,Flavored Drinks,Drinks,Beverages,Drink
625,Token,Token Strawberry Drink,15326582789,1.61,13.8,10.8,1,0,18,6,10.9,16.5,3.9,Flavored Drinks,Drinks,Beverages,Drink
633,Token,Token Apple Drink,32994400858,0.74,15.6,13.6,1,0,33,10,20.2,19.3,7.55,Flavored Drinks,Drinks,Beverages,Drink
940,Fabulous,Fabulous Mango Drink,84811106324,2.84,14.5,12.5,0,0,23,11,21.4,11.4,20.8,Flavored Drinks,Drinks,Beverages,Drink
941,Fabulous,Fabulous Strawberry Drink,49009076952,3.95,18.3,16.2,0,0,35,10,10.6,20.6,11.9,Flavored Drinks,Drinks,Beverages,Drink
949,Fabulous,Fabulous Apple Drink,53991805911,2.51,10.6,8.6,1,0,32,5,18.2,13.7,8.66,Flavored Drinks,Drinks,Beverages,Drink
1251,Skinner,Skinner Mango Drink,92351836562,3.58,11.4,8.39,1,0,28,9,19.4,22.4,14.4,Flavored Drinks,Drinks,Beverages,Drink
1252,Skinner,Skinner Strawberry Drink,67357521653,2.28,21.8,19.7,0,0,24,9,12.2,4.51,10.5,Flavored Drinks,Drinks,Beverages,Drink
1260,Skinner,Skinner Apple Drink,17648249268,0.67,7.11,5.11,0,1,16,9,18.3,21.5,11.9,Flavored Drinks,Drinks,Beverages,Drink
4,Washington,Washington Cream Soda,64412155747,3.64,10.6,9.6,1,0,26,10,22.9,18.9,7.93,Soda,Carbonated Beverages,Beverages,Drink
5,Washington,Washington Diet Soda,85561191439,2.19,6.66,4.65,1,0,7,10,20.7,21.9,19.2,Soda,Carbonated Beverages,Beverages,Drink
6,Washington,Washington Cola,29804642796,1.15,15.8,13.8,0,0,14,10,6.42,18.1,21.3,Soda,Carbonated Beverages,Beverages,Drink
7,Washington,Washington Diet Cola,20191444754,2.61,18.0,17.0,1,0,11,7,15.0,16.9,21.0,Soda,Carbonated Beverages,Beverages,Drink
315,Excellent,Excellent Cream Soda,69255055785,0.96,15.5,14.5,0,0,29,12,18.0,7.06,4.09,Soda,Carbonated Beverages,Beverages,Drink
316,Excellent,Excellent Diet Soda,77309675812,1.31,7.28,5.28,1,0,22,9,16.8,4.27,21.6,Soda,Carbonated Beverages,Beverages,Drink
317,Excellent,Excellent Cola,65409776568,2.18,13.1,11.1,1,0,22,14,7.56,10.2,19.8,Soda,Carbonated Beverages,Beverages,Drink
318,Excellent,Excellent Diet Cola,42702162861,2.47,17.8,16.7,1,0,8,12,9.17,10.5,13.3,Soda,Carbonated Beverages,Beverages,Drink
626,Token,Token Cream Soda,21094501614,1.29,6.73,4.73,0,0,9,14,9.79,12.0,15.3,Soda,Carbonated Beverages,Beverages,Drink
627,Token,Token Diet Soda,73005771040,1.7,7.64,4.63,1,0,31,13,14.4,14.2,10.1,Soda,Carbonated Beverages,Beverages,Drink
628,Token,Token Cola,48011456131,1.4,16.4,14.3,1,0,12,13,16.5,11.5,17.3,Soda,Carbonated Beverages,Beverages,Drink
629,Token,Token Diet Cola,69160491824,0.55,10.0,8.0,0,0,10,12,22.7,4.44,14.3,Soda,Carbonated Beverages,Beverages,Drink
942,Fabulous,Fabulous Cream Soda,79714244008,2.34,17.7,14.7,0,0,13,13,7.84,6.4,16.4,Soda,Carbonated Beverages,Beverages,Drink
943,Fabulous,Fabulous Diet Soda,37052111029,2.47,18.6,16.6,1,0,1,12,12.4,8.69,11.2,Soda,Carbonated Beverages,Beverages,Drink
944,Fabulous,Fabulous Cola,73582263588,0.88,16.4,15.3,1,0,17,13,19.9,14.0,21.9,Soda,Carbonated Beverages,Beverages,Drink
945,Fabulous,Fabulous Diet Cola,66255766749,2.28,12.3,9.3,0,0,5,12,19.2,8.24,13.2,Soda,Carbonated Beverages,Beverages,Drink
1253,Skinner,Skinner Cream Soda,88506557345,1.71,8.77,5.77,1,0,27,9,10.7,17.2,16.4,Soda,Carbonated Beverages,Beverages,Drink
1254,Skinner,Skinner Diet Soda,32750008702,3.67,8.31,7.31,1,0,7,9,8.52,20.5,6.56,Soda,Carbonated Beverages,Beverages,Drink
1255,Skinner,Skinner Cola,23136810660,1.24,20.7,18.7,1,0,14,10,9.12,7.0,12.6,Soda,Carbonated Beverages,Beverages,Drink
1256,Skinner,Skinner Diet Cola,26618028283,1.22,15.2,13.1,1,0,29,9,21.5,22.1,19.4,Soda,Carbonated Beverages,Beverages,Drink
12,Jeffers,Jeffers Oatmeal,49031038880,1.54,8.9,6.89,1,1,14,6,15.9,15.4,10.8,Cereal,Breakfast Foods,Breakfast Foods,Food
13,Jeffers,Jeffers Corn Puffs,13229009509,2.65,10.4,7.39,0,0,20,10,18.2,10.3,14.6,Cereal,Breakfast Foods,Breakfast Foods,Food
14,Jeffers,Jeffers Wheat Puffs,92942813038,1.93,21.6,20.6,1,1,33,10,7.73,6.94,8.01,Cereal,Breakfast Foods,Breakfast Foods,Food
15,Jeffers,Jeffers Grits,26378549933,2.29,21.3,20.2,0,1,14,9,8.96,18.3,12.4,Cereal,Breakfast Foods,Breakfast Foods,Food
323,Best,Best Oatmeal,75705832839,3.5,15.4,12.3,0,1,19,6,7.44,19.6,18.4,Cereal,Breakfast Foods,Breakfast Foods,Food
324,Best,Best Corn Puffs,50711517930,1.97,7.43,5.42,0,0,13,9,19.9,8.22,22.8,Cereal,Breakfast Foods,Breakfast Foods,Food
325,Best,Best Wheat Puffs,71860553622,1.51,19.1,18.1,1,0,29,7,19.3,20.4,8.52,Cereal,Breakfast Foods,Breakfast Foods,Food
326,Best,Best Grits,16104004979,2.47,8.87,6.86,1,0,5,11,20.4,7.75,13.6,Cereal,Breakfast Foods,Breakfast Foods,Food
634,Radius,Radius Oatmeal,60594213604,2.53,13.1,10.1,1,1,12,9,18.8,21.6,5.2,Cereal,Breakfast Foods,Breakfast Foods,Food
635,Radius,Radius Corn Puffs,55554417967,1.38,7.92,5.92,0,1,34,8,15.0,22.6,16.2,Cereal,Breakfast Foods,Breakfast Foods,Food
636,Radius,Radius Wheat Puffs,87511168122,2.64,12.2,9.19,0,1,19,8,10.2,15.4,11.7,Cereal,Breakfast Foods,Breakfast Foods,Food
637,Radius,Radius Grits,51709138751,0.86,8.4,7.39,0,1,2,13,12.0,13.2,22.3,Cereal,Breakfast Foods,Breakfast Foods,Food
950,Special,Special Oatmeal,64333127140,3.47,9.56,6.56,0,0,25,8,3.69,15.0,10.8,Cereal,Breakfast Foods,Breakfast Foods,Food
951,Special,Special Corn Puffs,43502888083,1.93,16.1,15.1,1,0,17,14,19.4,19.1,8.19,Cereal,Breakfast Foods,Breakfast Foods,Food
952,Special,Special Wheat Puffs,46984105706,2.91,21.8,19.7,1,0,10,13,21.4,10.8,8.28,Cereal,Breakfast Foods,Breakfast Foods,Food
953,Special,Special Grits,96608673930,2.74,17.0,16.0,1,1,17,13,19.9,8.62,9.15,Cereal,Breakfast Foods,Breakfast Foods,Food
1261,Johnson,Johnson Oatmeal,95748350024,0.6,18.3,16.2,1,1,17,5,16.8,19.3,12.8,Cereal,Breakfast Foods,Breakfast Foods,Food
1262,Johnson,Johnson Corn Puffs,73040736317,0.76,11.1,10.1,0,1,6,11,11.1,7.71,12.3,Cereal,Breakfast Foods,Breakfast Foods,Food
1263,Johnson,Johnson Wheat Puffs,96476473212,0.83,10.5,7.5,0,1,25,6,8.9,20.1,21.9,Cereal,Breakfast Foods,Breakfast Foods,Food
1264,Johnson,Johnson Grits,43006625771,2.35,21.2,19.2,0,1,6,12,15.1,6.73,15.4,Cereal,Breakfast Foods,Breakfast Foods,Food
16,Blue Label,Blue Label Canned Beets,62908702492,3.83,21.2,18.2,0,1,31,10,19.0,21.9,9.39,Canned Vegetables,Vegetables,Canned Foods,Food
17,Blue Label,Blue Label Creamed Corn,79484335780,2.99,6.91,3.9,1,1,34,9,7.8,17.8,8.26,Canned Vegetables,Vegetables,Canned Foods,Food
18,Blue Label,Blue Label Canned String Beans,85252254605,2.67,12.6,10.6,1,0,26,10,8.87,5.18,13.3,Canned Vegetables,Vegetables,Canned Foods,Food
20,Blue Label,Blue Label Canned Yams,22169209122,2.78,21.3,19.2,0,1,22,8,5.95,5.22,11.8,Canned Vegetables,Vegetables,Canned Foods,Food
22,Blue Label,Blue Label Canned Tomatos,77561696171,2.29,15.0,14.0,0,0,31,13,19.0,8.73,5.02,Canned Vegetables,Vegetables,Canned Foods,Food
28,Blue Label,Blue Label Canned Peas,61668921113,3.91,21.9,20.8,1,0,33,9,8.1,22.0,21.5,Canned Vegetables,Vegetables,Canned Foods,Food
327,Better,Better Canned Beets,96490806937,0.6,8.6,7.6,0,1,26,10,18.5,18.8,8.49,Canned Vegetables,Vegetables,Canned Foods,Food
328,Better,Better Creamed Corn,99972024559,1.26,11.6,10.6,1,0,26,9,4.6,5.99,19.4,Canned Vegetables,Vegetables,Canned Foods,Food
329,Better,Better Canned String Beans,59596592783,1.74,10.9,8.89,1,1,22,8,3.61,20.6,14.0,Canned Vegetables,Vegetables,Canned Foods,Food
331,Better,Better Canned Yams,57990807890,2.83,15.9,13.8,0,0,22,14,3.51,13.7,18.7,Canned Vegetables,Vegetables,Canned Foods,Food
333,Better,Better Canned Tomatos,54145528674,1.32,17.9,16.8,0,1,33,14,5.86,12.2,9.37,Canned Vegetables,Vegetables,Canned Foods,Food
339,Better,Better Canned Peas,75658625960,1.4,21.3,19.2,1,1,31,9,14.3,18.6,22.0,Canned Vegetables,Vegetables,Canned Foods,Food
638,Bravo,Bravo Canned Beets,52903655171,3.15,6.8,5.8,1,0,22,9,16.5,20.0,19.7,Canned Vegetables,Vegetables,Canned Foods,Food
639,Bravo,Bravo Creamed Corn,76339392066,3.28,16.2,14.2,0,0,18,14,4.16,13.2,16.1,Canned Vegetables,Vegetables,Canned Foods,Food
640,Bravo,Bravo Canned String Beans,22869544625,2.59,9.63,7.63,0,1,20,8,3.52,20.8,5.09,Canned Vegetables,Vegetables,Canned Foods,Food
